{'--batchsize': '8192',
 '--device': '0',
 '--dump-every': '900',
 '--help': False,
 '--nhidden': '256',
 '--nlatent': '16',
 '--runtime': '3600',
 '--time-print': '1',
 '--time-sample': '120',
 '--vae-samples': '10',
 '--vis': None,
 '-o': 'vae_10',
 '<data.mat>': '../data/MSRC12-X-d60.mat'}
Using chainer version 1.22.0
702551 instances, 60 dimensions
256 hidden dimensions
16 latent VAE dimensions
Using 10 VAE samples per instance
Using a batchsize of 8192 instances
   192.8s of 3600.0s  [115] batch 230, E[obj] -22.8491,  9663.68 S/s, 1884160 total
   194.5s of 3600.0s  [116] batch 232, E[obj] -26.1462,  9792.89 S/s, 1900544 total
   196.2s of 3600.0s  [117] batch 234, E[obj] -24.5032,  9719.62 S/s, 1916928 total
   197.9s of 3600.0s  [118] batch 236, E[obj] -16.8381,  9664.33 S/s, 1933312 total
   199.6s of 3600.0s  [119] batch 238, E[obj] -26.5267,  9693.45 S/s, 1949696 total
   201.3s of 3600.0s  [120] batch 240, E[obj] -24.6003,  9744.30 S/s, 1966080 total
   203.0s of 3600.0s  [121] batch 242, E[obj] -28.9477,  9733.70 S/s, 1982464 total
   204.6s of 3600.0s  [122] batch 244, E[obj] -32.4430,  9727.13 S/s, 1998848 total
   206.3s of 3600.0s  [123] batch 246, E[obj] -31.1500,  9753.05 S/s, 2015232 total
   208.0s of 3600.0s  [124] batch 248, E[obj] -30.9836,  9784.12 S/s, 2031616 total
   209.7s of 3600.0s  [125] batch 250, E[obj] -28.6644,  9702.18 S/s, 2048000 total
   211.4s of 3600.0s  [126] batch 252, E[obj] -32.1561,  9785.45 S/s, 2064384 total
   213.0s of 3600.0s  [127] batch 254, E[obj] -31.8669,  9754.56 S/s, 2080768 total
   214.7s of 3600.0s  [128] batch 256, E[obj] -31.2184,  9751.54 S/s, 2097152 total
   216.4s of 3600.0s  [129] batch 258, E[obj] -38.7992,  10001.30 S/s, 2113536 total
   218.0s of 3600.0s  [130] batch 260, E[obj] -26.3538,  9765.26 S/s, 2129920 total
   219.7s of 3600.0s  [131] batch 262, E[obj] -23.2122,  9783.79 S/s, 2146304 total
   221.4s of 3600.0s  [132] batch 264, E[obj] -33.4120,  9827.88 S/s, 2162688 total
   223.1s of 3600.0s  [133] batch 266, E[obj] -25.5424,  9720.73 S/s, 2179072 total
   224.7s of 3600.0s  [134] batch 268, E[obj] -20.9972,  9866.68 S/s, 2195456 total
   226.4s of 3600.0s  [135] batch 270, E[obj] -26.8793,  9894.14 S/s, 2211840 total
   228.1s of 3600.0s  [136] batch 272, E[obj] -22.5953,  9675.70 S/s, 2228224 total
   229.8s of 3600.0s  [137] batch 274, E[obj] -19.1122,  9712.17 S/s, 2244608 total
   231.4s of 3600.0s  [138] batch 276, E[obj] -24.8275,  9784.05 S/s, 2260992 total
   233.1s of 3600.0s  [139] batch 278, E[obj] -22.2311,  9761.90 S/s, 2277376 total
   234.8s of 3600.0s  [140] batch 280, E[obj] -24.9328,  9899.08 S/s, 2293760 total
   236.4s of 3600.0s  [141] batch 282, E[obj] -23.6879,  9821.39 S/s, 2310144 total
   238.1s of 3600.0s  [142] batch 284, E[obj] -12.5412,  10069.55 S/s, 2326528 total
   239.7s of 3600.0s  [143] batch 286, E[obj] -9.2453,  9871.10 S/s, 2342912 total
   241.4s of 3600.0s  [144] batch 288, E[obj] -4.9232,  9844.18 S/s, 2359296 total
   # sampling
   243.1s of 3600.0s  [145] batch 290, E[obj] -16.9059,  9696.03 S/s, 2375680 total
   244.8s of 3600.0s  [146] batch 292, E[obj] -7.8906,  9677.54 S/s, 2392064 total
   246.4s of 3600.0s  [147] batch 294, E[obj] -6.3534,  9736.70 S/s, 2408448 total
   248.1s of 3600.0s  [148] batch 296, E[obj] -17.4213,  9719.61 S/s, 2424832 total
   249.9s of 3600.0s  [149] batch 298, E[obj] -17.8621,  9511.71 S/s, 2441216 total
   251.6s of 3600.0s  [150] batch 300, E[obj] -13.9101,  9656.20 S/s, 2457600 total
   253.2s of 3600.0s  [151] batch 302, E[obj] -22.0197,  9676.45 S/s, 2473984 total
   254.9s of 3600.0s  [152] batch 304, E[obj] -20.5238,  9775.12 S/s, 2490368 total
   256.6s of 3600.0s  [153] batch 306, E[obj] -23.0835,  9953.42 S/s, 2506752 total
   258.3s of 3600.0s  [154] batch 308, E[obj] -12.8089,  9611.24 S/s, 2523136 total
   260.0s of 3600.0s  [155] batch 310, E[obj] -20.1616,  9740.01 S/s, 2539520 total
   261.6s of 3600.0s  [156] batch 312, E[obj] -24.5993,  9786.22 S/s, 2555904 total
   263.3s of 3600.0s  [157] batch 314, E[obj] -28.8570,  10043.10 S/s, 2572288 total
   264.9s of 3600.0s  [158] batch 316, E[obj] -26.4785,  9917.56 S/s, 2588672 total
   266.6s of 3600.0s  [159] batch 318, E[obj] -28.1802,  9743.99 S/s, 2605056 total
   268.3s of 3600.0s  [160] batch 320, E[obj] -24.7825,  9811.28 S/s, 2621440 total
   269.9s of 3600.0s  [161] batch 322, E[obj] -29.2070,  9845.54 S/s, 2637824 total
   271.6s of 3600.0s  [162] batch 324, E[obj] -29.0969,  9800.40 S/s, 2654208 total
   273.3s of 3600.0s  [163] batch 326, E[obj] -30.3075,  9772.40 S/s, 2670592 total
   274.9s of 3600.0s  [164] batch 328, E[obj] -26.9822,  9835.03 S/s, 2686976 total
   276.6s of 3600.0s  [165] batch 330, E[obj] -29.3302,  9758.80 S/s, 2703360 total
   278.3s of 3600.0s  [166] batch 332, E[obj] -31.1088,  9706.54 S/s, 2719744 total
   280.0s of 3600.0s  [167] batch 334, E[obj] -34.9428,  9768.01 S/s, 2736128 total
   281.6s of 3600.0s  [168] batch 336, E[obj] -37.1189,  10010.86 S/s, 2752512 total
   283.3s of 3600.0s  [169] batch 338, E[obj] -39.8057,  9886.82 S/s, 2768896 total
   285.0s of 3600.0s  [170] batch 340, E[obj] -31.7744,  9737.80 S/s, 2785280 total
   286.6s of 3600.0s  [171] batch 342, E[obj] -33.6152,  9829.80 S/s, 2801664 total
   288.3s of 3600.0s  [172] batch 344, E[obj] -40.8671,  9820.13 S/s, 2818048 total
   290.0s of 3600.0s  [173] batch 346, E[obj] -40.3220,  9783.32 S/s, 2834432 total
   291.7s of 3600.0s  [174] batch 348, E[obj] -37.6610,  9678.39 S/s, 2850816 total
   293.4s of 3600.0s  [175] batch 350, E[obj] -38.5404,  9701.41 S/s, 2867200 total
   295.0s of 3600.0s  [176] batch 352, E[obj] -41.5533,  9714.21 S/s, 2883584 total
   296.7s of 3600.0s  [177] batch 354, E[obj] -41.9014,  9733.42 S/s, 2899968 total
   298.4s of 3600.0s  [178] batch 356, E[obj] -41.5023,  9748.65 S/s, 2916352 total
   300.1s of 3600.0s  [179] batch 358, E[obj] -43.3661,  9638.28 S/s, 2932736 total
   301.8s of 3600.0s  [180] batch 360, E[obj] -45.7111,  9762.54 S/s, 2949120 total
   303.5s of 3600.0s  [181] batch 362, E[obj] -46.9102,  9827.88 S/s, 2965504 total
   305.1s of 3600.0s  [182] batch 364, E[obj] -46.5884,  9702.12 S/s, 2981888 total
   306.8s of 3600.0s  [183] batch 366, E[obj] -43.2477,  9757.25 S/s, 2998272 total
   308.5s of 3600.0s  [184] batch 368, E[obj] -49.7480,  9704.07 S/s, 3014656 total
   310.2s of 3600.0s  [185] batch 370, E[obj] -46.9718,  9814.02 S/s, 3031040 total
   311.8s of 3600.0s  [186] batch 372, E[obj] -49.0669,  9812.00 S/s, 3047424 total
   313.5s of 3600.0s  [187] batch 374, E[obj] -46.5091,  9795.43 S/s, 3063808 total
   315.2s of 3600.0s  [188] batch 376, E[obj] -42.6038,  9852.43 S/s, 3080192 total
   316.8s of 3600.0s  [189] batch 378, E[obj] -47.4855,  9857.56 S/s, 3096576 total
   318.5s of 3600.0s  [190] batch 380, E[obj] -44.7981,  9679.58 S/s, 3112960 total
   320.2s of 3600.0s  [191] batch 382, E[obj] -46.5566,  9946.35 S/s, 3129344 total
   321.9s of 3600.0s  [192] batch 384, E[obj] -45.2030,  9807.15 S/s, 3145728 total
   323.5s of 3600.0s  [193] batch 386, E[obj] -36.4127,  9794.53 S/s, 3162112 total
   325.2s of 3600.0s  [194] batch 388, E[obj] -43.5013,  9686.75 S/s, 3178496 total
   326.9s of 3600.0s  [195] batch 390, E[obj] -26.3888,  9700.02 S/s, 3194880 total
   328.6s of 3600.0s  [196] batch 392, E[obj] -15.3436,  9794.44 S/s, 3211264 total
   330.3s of 3600.0s  [197] batch 394, E[obj] -14.4949,  9673.85 S/s, 3227648 total
   331.9s of 3600.0s  [198] batch 396, E[obj] -26.6202,  9903.04 S/s, 3244032 total
   333.6s of 3600.0s  [199] batch 398, E[obj] -23.9419,  9711.06 S/s, 3260416 total
   335.3s of 3600.0s  [200] batch 400, E[obj] -23.4753,  9749.96 S/s, 3276800 total
   337.0s of 3600.0s  [201] batch 402, E[obj] -26.3204,  9670.39 S/s, 3293184 total
   338.7s of 3600.0s  [202] batch 404, E[obj] -29.5183,  9666.88 S/s, 3309568 total
   340.4s of 3600.0s  [203] batch 406, E[obj] -23.1152,  9660.39 S/s, 3325952 total
   342.1s of 3600.0s  [204] batch 408, E[obj] -32.9376,  9789.74 S/s, 3342336 total
   343.7s of 3600.0s  [205] batch 410, E[obj] -26.3299,  9841.97 S/s, 3358720 total
