{'--batchsize': '8192',
 '--device': '0',
 '--dump-every': '900',
 '--help': False,
 '--nhidden': '256',
 '--nlatent': '16',
 '--runtime': '3600',
 '--time-print': '1',
 '--time-sample': '120',
 '--vae-samples': '25',
 '--vis': None,
 '-o': 'vae_25',
 '<data.mat>': '../data/MSRC12-X-d60.mat'}
Using chainer version 1.22.0
702551 instances, 60 dimensions
256 hidden dimensions
16 latent VAE dimensions
Using 25 VAE samples per instance
Using a batchsize of 8192 instances
   257.0s of 3600.0s  [166] batch 332, E[obj] nan,  10778.28 S/s, 2719744 total
   258.6s of 3600.0s  [167] batch 334, E[obj] nan,  10716.30 S/s, 2736128 total
   260.1s of 3600.0s  [168] batch 336, E[obj] nan,  10776.42 S/s, 2752512 total
   261.6s of 3600.0s  [169] batch 338, E[obj] nan,  10645.65 S/s, 2768896 total
   263.1s of 3600.0s  [170] batch 340, E[obj] nan,  10755.16 S/s, 2785280 total
   264.7s of 3600.0s  [171] batch 342, E[obj] nan,  10831.02 S/s, 2801664 total
   266.2s of 3600.0s  [172] batch 344, E[obj] nan,  10768.76 S/s, 2818048 total
   267.7s of 3600.0s  [173] batch 346, E[obj] nan,  10708.67 S/s, 2834432 total
   269.2s of 3600.0s  [174] batch 348, E[obj] nan,  10804.92 S/s, 2850816 total
   270.8s of 3600.0s  [175] batch 350, E[obj] nan,  10552.24 S/s, 2867200 total
   272.3s of 3600.0s  [176] batch 352, E[obj] nan,  10681.83 S/s, 2883584 total
   273.8s of 3600.0s  [177] batch 354, E[obj] nan,  10745.74 S/s, 2899968 total
   275.4s of 3600.0s  [178] batch 356, E[obj] nan,  10753.65 S/s, 2916352 total
   276.9s of 3600.0s  [179] batch 358, E[obj] nan,  10875.25 S/s, 2932736 total
   278.4s of 3600.0s  [180] batch 360, E[obj] nan,  10569.76 S/s, 2949120 total
   279.9s of 3600.0s  [181] batch 362, E[obj] nan,  10798.55 S/s, 2965504 total
   281.5s of 3600.0s  [182] batch 364, E[obj] nan,  10550.00 S/s, 2981888 total
   283.0s of 3600.0s  [183] batch 366, E[obj] nan,  10779.50 S/s, 2998272 total
   284.5s of 3600.0s  [184] batch 368, E[obj] nan,  10670.42 S/s, 3014656 total
   286.1s of 3600.0s  [185] batch 370, E[obj] nan,  10804.28 S/s, 3031040 total
   287.6s of 3600.0s  [186] batch 372, E[obj] nan,  10778.88 S/s, 3047424 total
   289.1s of 3600.0s  [187] batch 374, E[obj] nan,  10839.81 S/s, 3063808 total
   290.6s of 3600.0s  [188] batch 376, E[obj] nan,  10750.04 S/s, 3080192 total
   292.2s of 3600.0s  [189] batch 378, E[obj] nan,  10660.31 S/s, 3096576 total
   293.7s of 3600.0s  [190] batch 380, E[obj] nan,  10599.90 S/s, 3112960 total
   295.2s of 3600.0s  [191] batch 382, E[obj] nan,  10640.91 S/s, 3129344 total
   296.8s of 3600.0s  [192] batch 384, E[obj] nan,  10825.79 S/s, 3145728 total
   298.3s of 3600.0s  [193] batch 386, E[obj] nan,  10738.17 S/s, 3162112 total
   299.8s of 3600.0s  [194] batch 388, E[obj] nan,  10839.51 S/s, 3178496 total
   301.3s of 3600.0s  [195] batch 390, E[obj] nan,  10680.18 S/s, 3194880 total
   302.8s of 3600.0s  [196] batch 392, E[obj] nan,  10825.55 S/s, 3211264 total
   304.4s of 3600.0s  [197] batch 394, E[obj] nan,  10805.86 S/s, 3227648 total
   305.9s of 3600.0s  [198] batch 396, E[obj] nan,  10781.58 S/s, 3244032 total
   307.4s of 3600.0s  [199] batch 398, E[obj] nan,  10608.09 S/s, 3260416 total
   308.9s of 3600.0s  [200] batch 400, E[obj] nan,  10775.78 S/s, 3276800 total
   310.5s of 3600.0s  [201] batch 402, E[obj] nan,  10722.90 S/s, 3293184 total
   312.0s of 3600.0s  [202] batch 404, E[obj] nan,  10824.71 S/s, 3309568 total
   313.5s of 3600.0s  [203] batch 406, E[obj] nan,  10735.02 S/s, 3325952 total
   315.0s of 3600.0s  [204] batch 408, E[obj] nan,  10679.46 S/s, 3342336 total
   316.6s of 3600.0s  [205] batch 410, E[obj] nan,  10776.08 S/s, 3358720 total
   318.1s of 3600.0s  [206] batch 412, E[obj] nan,  10766.32 S/s, 3375104 total
   319.6s of 3600.0s  [207] batch 414, E[obj] nan,  10581.01 S/s, 3391488 total
   321.2s of 3600.0s  [208] batch 416, E[obj] nan,  10700.02 S/s, 3407872 total
   322.7s of 3600.0s  [209] batch 418, E[obj] nan,  10787.92 S/s, 3424256 total
   324.2s of 3600.0s  [210] batch 420, E[obj] nan,  10703.67 S/s, 3440640 total
   325.7s of 3600.0s  [211] batch 422, E[obj] nan,  10902.50 S/s, 3457024 total
   327.2s of 3600.0s  [212] batch 424, E[obj] nan,  10787.61 S/s, 3473408 total
   328.7s of 3600.0s  [213] batch 426, E[obj] nan,  10814.51 S/s, 3489792 total
   330.3s of 3600.0s  [214] batch 428, E[obj] nan,  10705.73 S/s, 3506176 total
   331.8s of 3600.0s  [215] batch 430, E[obj] nan,  10924.31 S/s, 3522560 total
   333.3s of 3600.0s  [216] batch 432, E[obj] nan,  10789.04 S/s, 3538944 total
   334.8s of 3600.0s  [217] batch 434, E[obj] nan,  10718.05 S/s, 3555328 total
   336.3s of 3600.0s  [218] batch 436, E[obj] nan,  10846.12 S/s, 3571712 total
   337.8s of 3600.0s  [219] batch 438, E[obj] nan,  10839.28 S/s, 3588096 total
   339.4s of 3600.0s  [220] batch 440, E[obj] nan,  10696.13 S/s, 3604480 total
   340.9s of 3600.0s  [221] batch 442, E[obj] nan,  10638.05 S/s, 3620864 total
   342.4s of 3600.0s  [222] batch 444, E[obj] nan,  10728.17 S/s, 3637248 total
   344.0s of 3600.0s  [223] batch 446, E[obj] nan,  10811.39 S/s, 3653632 total
   345.5s of 3600.0s  [224] batch 448, E[obj] nan,  10795.33 S/s, 3670016 total
